timestamp,funding_rate
2025-10-07 00:00:00,2.46e-06
2025-10-07 08:00:00,-2.887e-05
2025-10-07 16:00:00,0.0001
2025-10-08 00:00:00,0.0001
2025-10-08 08:00:00,0.0001
2025-10-08 16:00:00,0.0001
2025-10-09 00:00:00,3.109e-05
2025-10-09 08:00:00,3.706e-05
2025-10-09 16:00:00,5.581e-05
2025-10-10 00:00:00,0.0001
2025-10-10 08:00:00,0.0001
2025-10-10 16:00:00,4.578e-05
2025-10-11 00:00:00,-0.00014131
2025-10-11 08:00:00,0.0001
2025-10-11 16:00:00,0.0001
2025-10-12 00:00:00,-7.37e-06
2025-10-12 08:00:00,2.84e-05
2025-10-12 16:00:00,6.092e-05
2025-10-13 00:00:00,0.0001
2025-10-13 08:00:00,0.0001
2025-10-13 16:00:00,4.824e-05
2025-10-14 00:00:00,7.775e-05
2025-10-14 08:00:00,-2.259e-05
2025-10-14 16:00:00,3e-07
2025-10-15 00:00:00,9.62e-06
2025-10-15 08:00:00,2.225e-05
2025-10-15 16:00:00,-1.58e-06
2025-10-16 00:00:00,3.29e-06
2025-10-16 08:00:00,-4.75e-06
2025-10-16 16:00:00,-3.787e-05
2025-10-17 00:00:00,9.25e-06
2025-10-17 08:00:00,-8.91e-06
2025-10-17 16:00:00,1.371e-05
2025-10-18 00:00:00,-2.473e-05
2025-10-18 08:00:00,-1.289e-05
2025-10-18 16:00:00,5.928e-05
2025-10-19 00:00:00,3.953e-05
2025-10-19 08:00:00,3.762e-05
2025-10-19 16:00:00,0.0001
2025-10-20 00:00:00,5.677e-05
2025-10-20 08:00:00,0.0001
2025-10-20 16:00:00,0.0001
2025-10-21 00:00:00,7.228e-05
2025-10-21 08:00:00,1.871e-05
2025-10-21 16:00:00,8.799e-05
2025-10-22 00:00:00,2.025e-05
2025-10-22 08:00:00,4.647e-05
2025-10-22 16:00:00,5.5e-05
2025-10-23 00:00:00,5.646e-05
2025-10-23 08:00:00,0.0001
2025-10-23 16:00:00,6.755e-05
2025-10-24 00:00:00,-1.64e-06
2025-10-24 08:00:00,0.0001
2025-10-24 16:00:00,4.654e-05
2025-10-25 00:00:00,3.168e-05
2025-10-25 08:00:00,0.0001
2025-10-25 16:00:00,0.0001
2025-10-26 00:00:00,9.909e-05
2025-10-26 08:00:00,5.578e-05
2025-10-26 16:00:00,0.0001
2025-10-27 00:00:00,0.0001
2025-10-27 08:00:00,0.0001
2025-10-27 16:00:00,5.882e-05
2025-10-28 00:00:00,1.045e-05
2025-10-28 08:00:00,3.558e-05
2025-10-28 16:00:00,8.991e-05
2025-10-29 00:00:00,-3.96e-06
2025-10-29 08:00:00,1.593e-05
2025-10-29 16:00:00,1.663e-05
2025-10-30 00:00:00,2.081e-05
2025-10-30 08:00:00,3.62e-05
2025-10-30 16:00:00,-2.633e-05
2025-10-31 00:00:00,2.357e-05
2025-10-31 08:00:00,0.0001
2025-10-31 16:00:00,5.658e-05
2025-11-01 00:00:00,2.475e-05
2025-11-01 08:00:00,2.432e-05
2025-11-01 16:00:00,6.744e-05
2025-11-02 00:00:00,5.819e-05
2025-11-02 08:00:00,4.76e-05
2025-11-02 16:00:00,1.946e-05
2025-11-03 00:00:00,2.067e-05
2025-11-03 08:00:00,-4.708e-05
2025-11-03 16:00:00,5.29e-05
2025-11-04 00:00:00,3.846e-05
2025-11-04 08:00:00,-1.217e-05
2025-11-04 16:00:00,4.548e-05
